"","Sample_Name","Tube_Sample","Sample","Group","Seedling_sp","Mother_sp","Seedling_ID","Soil_ID","Tube_label","Seedling_status_at_collection","Date_sample_collected","Extraction_date","Sample_type","Sample_weight_mg","Notes"
"76","STRI_F_R033","F_R033","R033","FUN",NA,NA,"12525_0407_2_04",NA,"UR033","",20191001,NA,"Unsterile root",21.8,"Wet sample"
"77","STRI_F_R036","F_R036","R036","FUN",NA,NA,"58779_1901_1_01",NA,"UR036","",20191001,NA,"Unsterile root",42.9,""
"78","STRI_O_R036","O_R036","R036","OOMY",NA,NA,"58779_1901_1_02",NA,"UR037","",20191001,NA,"Unsterile root",42.9,""
"79","STRI_F_R039","F_R039","R039","FUN",NA,NA,"58779_0820_1_07",NA,"UR039","",20191001,NA,"Unsterile root",36.8,""
"80","STRI_F_R042","F_R042","R042","FUN",NA,NA,"01401_0407_1_01",NA,"UR042","",20191001,NA,"Unsterile root",17.2,""
"81","STRI_O_R042","O_R042","R042","OOMY",NA,NA,"01401_0407_1_02",NA,"UR043","",20191001,NA,"Unsterile root",17.2,""
"82","STRI_F_R045","F_R045","R045","FUN",NA,NA,"01687_0820_1_02",NA,"UR045","",20191001,NA,"Unsterile root",41.9,""
"83","STRI_O_R045","O_R045","R045","OOMY",NA,NA,"01687_0820_1_03",NA,"UR046","",20191001,NA,"Unsterile root",41.9,""
"84","STRI_F_R048","F_R048","R048","FUN",NA,NA,"01772_0820_1_02",NA,"UR048","",20191001,NA,"Unsterile root",58.3,""
"85","STRI_F_R051","F_R051","R051","FUN",NA,NA,"41607_1901_2_04",NA,"UR051","",20191001,NA,"Unsterile root",13.8,""
"86","STRI_F_R053","F_R053","R053","FUN",NA,NA,"12249_1901_3_01",NA,"UR053","",20190911,NA,"Unsterile root",38,""
"87","STRI_F_R054","F_R054","R054","FUN",NA,NA,"42320_0820_1_01",NA,"UR054","",20190927,NA,"Unsterile root",2.1,""
"88","STRI_F_R057","F_R057","R057","FUN",NA,NA,"42320_0407_1_01",NA,"UR057","",20190927,NA,"Unsterile root",1.4,""
"89","STRI_O_R057","O_R057","R057","OOMY",NA,NA,"42320_0407_1_02",NA,"UR058","",20190927,NA,"Unsterile root",1.4,""
"90","STRI_F_R060","F_R060","R060","FUN",NA,NA,"03546_0407_2_01",NA,"UR060","",20190927,NA,"Unsterile root",8.6,""
"91","STRI_F_R063","F_R063","R063","FUN",NA,NA,"41607_0803_1_01",NA,"UR063","",20190927,NA,"Unsterile root",0.2,""
"92","STRI_F_R066","F_R066","R066","FUN",NA,NA,"01772_0820_1_01",NA,"UR066","",20190927,NA,"Unsterile root",2.3,""
"93","STRI_F_R069","F_R069","R069","FUN",NA,NA,"13665_0407_1_01",NA,"UR069","",20190927,NA,"Unsterile root",1.5,""
"94","STRI_F_R072","F_R072","R072","FUN",NA,NA,"01401_0820_2_02",NA,"UR072","",20190926,NA,"Unsterile root",4.8,""
"95","STRI_F_R075","F_R075","R075","FUN",NA,NA,"58779_0820_2_03",NA,"UR075","",20190926,NA,"Unsterile root",4.7,""
"96","STRI_F_R078","F_R078","R078","FUN",NA,NA,"42320_0820_1_06",NA,"UR078","",20191011,NA,"Unsterile root",13,""
"97","STRI_F_R083","F_R083","R083","FUN",NA,NA,"42320_1901_2_02",NA,"UR083","",20191002,NA,"Unsterile root",43.4,""
"98","STRI_F_R086","F_R086","R086","FUN",NA,NA,"15809_0407_2_01",NA,"UR086","",20191007,NA,"Unsterile root",52.8,""
"99","STRI_O_R086","O_R086","R086","OOMY",NA,NA,"15809_0407_2_02",NA,"UR087","",20191007,NA,"Unsterile root",52.8,""
