Seedling_ID,Sample_Name,Tube_Sample,Sample,Group,Tube_label,Sample_type,Sample_weight_mg,Seedling_species,Adult_tag,Adult_species,Identifier,Soil_sample_number,Seedling_status_at_collection,Date_seedling_collected,Date_seedling_plated,Date_seedling_stored,Roots_box_position,Roots_sterile_box_positions,Stem_box_position,Stem_sterile_box_position,Leaves_box_position,Leaves_sterile_box_position,Seedling_collection_photo,Seedling_Collector,SequenceRoots,SequenceRootsSterile,SequenceStems,SequenceLeaves,Notes,...24
03546_0803_1_01,STRI_F_L206,F_L206,L206,FUN,L206,Sterile leaf,51,HC,3546,HC,1,36,Healthy,20191004,NA,NA,Bag,Bag,Bag,Bag,Bag,Bag,IMG_4931.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
03546_0803_3_02,STRI_F_R132,F_R132,R132,FUN,UR132,Unsterile root,5,HC,3546,HC,N,NA,Healthy,20190822,NA,NA,1_D8,NA,S_D8,NA,L_D2,NA,IMG_4340.HEIC,DP,Yes,No,No,No,NA,NA
12249_0407_1_03,STRI_F_R019,F_R019,R019,FUN,UR019,Unsterile root,1.2,DG,12249,DG,3,22,Healthy,20190927,NA,20191001,B1_6D,NA,B_H1,B_H2,B_C6,B_C5,IMG_4830.JPG,JS,Yes,No,Yes,Yes,NA,NA
12249_0407_2_01,STRI_F_R106,F_R106,R106,FUN,UR106,Unsterile root,0.9,DG,12249,HC,N1,3,Pathogen,20190920,20190925,20190925,B1_7C,A_C7,NA,B_I2,NA,B_B5,IMG_4798.JPG,RP,Yes,Yes,Yes,Yes,NA,Possible mixup with sterile-unsterile
12249_0407_2_01,STRI_F_L108,F_L108,L108,FUN,L108,Sterile leaf,45.7,DG,12249,HC,N1,3,Pathogen,20190920,20190925,20190925,B1_7C,A_C7,NA,B_I2,NA,B_B5,IMG_4798.JPG,RP,Yes,Yes,Yes,Yes,NA,Possible mixup with sterile-unsterile
12249_0803_1_01,STRI_F_L025,F_L025,L025,FUN,L025,Sterile leaf,55.4,HC,12249,HC,1,19,Healthy,20190927,NA,20191001,B1_7E,A_G6,B_F6,B_F5,B_E4,B_E3,IMG_4827.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
12249_0803_1_01,STRI_F_R022,F_R022,R022,FUN,UR022,Unsterile root,0.5,HC,12249,HC,1,19,Healthy,20190927,NA,20191001,B1_7E,A_G6,B_F6,B_F5,B_E4,B_E3,IMG_4827.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
12249_0820_1_04,STRI_F_R099,F_R099,R099,FUN,UR099,Unsterile root,1.7,HT,12249,HC,4,NA,Healthy,20190903,NA,NA,1_D1,NA,S_D1,NA,L_D1,NA,NA,NA,Yes,No,No,No,NA,NA
12249_0820_1_05,STRI_F_R015,F_R015,R015,FUN,UR015,Unsterile root,1.7,HT,12249,DG,5,26,Healthy,20190927,NA,20191001,B1_2F,A_H5,E_I4,E_I5,E_A6,E_A5,IMG_4833.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
12249_0820_1_05,STRI_F_L018,F_L018,L018,FUN,L018,Sterile leaf,49.6,HT,12249,DG,5,26,Healthy,20190927,NA,20191001,B1_2F,A_H5,E_I4,E_I5,E_A6,E_A5,IMG_4833.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
